Id,EnumTypeId,Idx,Description,Abbreviation,Flags
225,18,0,*,*,0
226,18,1,Maint Workshop,Maint,1
227,18,2,Fuel Workshop,Fuel,1
228,18,3,Tyre Workshop,Tyre,1
229,18,4,Other Workshop,Other,1
230,18,5,None,None,0
231,18,6,Water Fill,Water,2
232,18,7,Weigh Station,WStation,4
